BITS,ITERATIONS,COMPUTATION,VERIFICATION
2560,35840,273.13476067404264,2.925256723705679
2560,37120,280.3114794912748,1.1476344611123204
2560,38400,290.63787206541747,1.3823387026228011
2560,39680,301.7240513818339,3.887124495878816
2560,40960,309.9420346118044,1.6285758351814001
3072,0,5.595912133622915,5.592301145261153
3072,1280,19.691301573440434,3.5264852275699377
3072,2560,36.3230763327796,4.091494044503197
3072,3840,52.51966523816809,4.083946244129911
3072,5120,70.5652348424308,5.938044572249055
3072,6400,86.58112614140846,6.09032916710712
3072,7680,101.64059520517476,4.6812607250269505
3072,8960,118.47938412656076,5.609451747667045
3072,10240,133.98429646035657,4.59607770354487
3072,11520,150.87645835583098,5.355295849433169
3072,12800,166.25351496464572,4.88641646431759
3072,14080,181.5446217069868,3.83437651257962
3072,15360,196.61866665240376,1.806790606090799
3072,16640,217.4848845599685,7.88736144577153
3072,17920,231.73330557341689,6.1758411560487
3072,19200,245.4289995378349,2.84239780834876
3072,20480,263.6747928590048,5.096811299044639
3072,21760,278.48130951146595,3.8547027079202234
3072,23040,300.2985856322106,9.304151174174622
3072,24320,310.12118445001545,3.355091609535739
3072,25600,328.4992240126245,5.602813305417076
3072,26880,343.40767850396225,4.035615995191038
3072,28160,361.76806425941174,7.000803762217983
3072,29440,375.0239995213691,3.359145644614473
3072,30720,394.7139081470203,7.210781700536609
3072,32000,406.7637239098549,3.451336719123647
3072,33280,422.5815667839721,3.4285676500108093
3072,34560,438.3305590008851,3.104585459064692
3072,35840,456.98841367634014,5.216635185033083
3072,37120,471.77679780516775,4.0204079424124215
3072,38400,489.58426758837885,5.680416506510228
3072,39680,508.0797416190617,6.194671533452347
3072,40960,517.9364380501677,1.7017404617276042
3584,0,7.704406570224092,7.7027552049048245
3584,1280,34.58106665336527,9.197119398545475
3584,2560,54.22996201552451,4.448615130782128
3584,3840,83.89870322938077,9.109214547146111
3584,5120,102.58727031149901,2.8833112782705577
3584,6400,127.60384851819836,3.0036882288288327
3584,7680,153.10525834104047,3.429907093718648
3584,8960,181.20564196445048,7.075410825125873
3584,10240,206.52201401344502,7.28867786578834
3584,11520,237.85635693115182,13.381471694139764
3584,12800,259.51351979859174,9.909322612639517
3584,14080,284.44693270442076,10.768181807808578
3584,15360,312.29660399942657,12.93900601964444
3584,16640,328.8812307317741,5.308539925673976
3584,17920,358.2922683398239,8.531166331907734
3584,19200,381.06607010238804,7.471040645949542
3584,20480,413.28929336648434,14.75269430730492
3584,21760,427.84977457262573,4.78455651415512
3584,23040,462.7122260812204,13.849658904150129
3584,24320,482.504050635593,8.523215623786673
3584,25600,507.01471413020045,7.814696504035965
3584,26880,528.4382794672623,6.060997000010684
3584,28160,555.5156403941568,6.349882834842429
3584,29440,576.1515889238101,3.336482457304373
3584,30720,604.9325499092229,6.567737337760628
3584,32000,637.1365742695518,13.977007825551555
3584,33280,657.3108190294355,7.677200945951045
3584,34560,689.520373799745,15.420308416532352
3584,35840,710.5420493250247,12.427290177680552
3584,37120,734.3129807269667,10.139070253297687
3584,38400,754.8182517298497,5.651132685430348
3584,39680,781.3954839475919,7.545072324685752
3584,40960,806.9624243181199,7.450984642161057
4096,0,16.746886644884945,16.75922119121067
4096,1280,56.72976424368098,20.21715613747947
4096,2560,83.67701430860907,10.187985488856212
4096,3840,127.0446001952514,17.40077125603333
4096,5120,169.9197753264103,22.697885245867074
4096,6400,195.0567530834116,12.218242260189728
4096,7680,225.72128905639983,6.040696701481938
4096,8960,275.76664922502823,19.804349713912234
4096,10240,306.8472248400096,13.582637632684783
4096,11520,343.99397552143785,14.961722227381543
4096,12800,378.02722451719455,11.077616727091373
4096,14080,415.19146203040145,12.975804205248131
4096,15360,449.25708512235434,10.10149450868368
4096,16640,484.2955728382338,8.703351016491652
4096,17920,522.0052343544085,8.543419062681496
4096,19200,552.6003853977658,3.24361598148942
4096,20480,593.9395688853692,8.215702281016856
4096,21760,641.9797862365842,19.732454585786908
4096,23040,678.0528023159598,14.549363325200975
4096,24320,708.529532200005,9.253440308384597
4096,25600,748.7009695007466,17.42289403225295
4096,26880,777.5549716753885,9.444791408004239
4096,28160,814.94150076597,9.937404756667092
4096,29440,849.9896947028116,8.853769269157201
4096,30720,896.8535493325442,18.435314899608493
4096,32000,923.9585568708368,9.889149352191016
4096,33280,954.9906195114366,4.708523213062436
4096,34560,1003.3689710518345,8.874004208222031
4096,35840,1038.9495351123624,15.029443233981729
4096,37120,1077.7239360253327,16.07643044726923
4096,38400,1118.628524865629,21.752070563500748
4096,39680,1141.0813455806115,5.94428591622971
4096,40960,1179.9470365788322,9.336265825750306
