BITS,ITERATIONS,COMPUTATION,VERIFICATION,FACTOR
1536,29440,56.10271875956096,0.45996481508016585,121.97176157872639
1536,30720,58.11603939216584,0.2821897588018328,205.9466638297732
1536,32000,60.73248078417964,0.347781305257231,174.62836519996327
1536,33280,63.344687927421184,0.4809940953180194,131.69535456675305
1536,34560,65.52664221622982,0.4023443006630987,162.86211115265252
1536,35840,67.80491793956608,0.24006965334527194,282.4385214654681
1536,37120,70.65458124517463,0.4399430319946259,160.5993869816256
1536,38400,73.39247503024527,0.7929233388137072,92.55935780632686
1536,39680,75.31013666004874,0.2900354790966958,259.65835936554805
1536,40960,77.77405821178108,0.5835730879940093,133.27218100328074
2048,0,0.9423109621740877,0.9440458262618631,0.9981623094562635
2048,1280,6.421012145839631,0.8849228742532432,7.256013300885807
2048,2560,12.988958765380085,1.924315782263875,6.74991022008827
